"You will be redirected to QPay in a few seconds. If not please click on the redirect button.","You will be redirected to QPay in a few seconds. If not please click on the redirect button."
"You will be redirected in a few seconds.","You will be redirected in a few seconds."
"An error occured during the payment process:","An error occured during the payment process:"
"The amount has been authorized and captured by QPay.","The payment was successfuly processed."
"Customer was rejected by QPay","The payment was declined."
"Order has been canceled.","Order has been canceled."
"Customer was redirected to QPay.","Customer was redirected the payment module."
"Incorrect data was submitted","An error occured during the payment process."
"Error occured","An error occured."
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">continue shopping</a>."
"QPay Transaction ID: %s","QPay Transaction ID: %s"
"qenta_cc:You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"qenta_select:You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"qenta_elv:You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"qenta_eps:You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"qenta_maestro:You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"qenta_pbx:You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"qenta_psc:You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"qenta_quick:You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"qenta_paypal:You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"qenta_sofortueberweisung:You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"qenta_wgp:You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"qenta_idl:You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"qenta_banContactMisterCash:You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"qenta_c2p:You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"qenta_invoice:You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"qenta_installment:You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"qenta_przelewy:You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"qenta_moneta:You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"qenta_poli:You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"You will be redirected to QPay website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"Shopping basket","Shopping basket"
"Payment has not been processed yet.","Payment has not been processed yet."
"Customer ID","CUSTOMERID"
"Displayed Text","DISPLAYTEXT"
"Enabled","Enabled"
"Logo URL","IMAGEURL"
"New order status","New order status"
"Only needed if enabled by QPay","Only required if shopids are enabled by QPay."
"Payment to Specific countries","Payment from specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Pre-shared secret key","Pre-shared secret key"
"Secret Key","SECRET"
"Service Page URL","SERVICEURL"
"Shop ID","SHOPID"
"Sort order","Sort order"
"Show Issuedate Fields","Show Issuedate Fields"
"Show Issuenumber Field","Show Issuenumber Field"
"Only effects seamless configuration","Only effects seamless configuration"
"Text which is shown together with order data (optional)","Text which is shown together with order data (optional)"
"Title","Title"
"URL pointing to the image of logo (optional; use relative path)","URL pointing to the image of logo (optional; use relative path)"
"URL pointing to the service page (use relative path)","URL pointing to the service page (use relative path)"
"Sorry, your payment has not confirmed by the payment provider.","Sorry, your payment has not confirmed by the payment provider."
"redirect","redirect"
"Background color","Background color"
"Background color of payment form after redirection. RGB, for example: F5F5F5","Background color of payment form after redirection. RGB, for example: F5F5F5"
"Send additional consumer information","Send additional consumer information"
"Include additional consumer data to redirect request. (e.g. billing address information)","Include additional consumer data to redirect request. (e.g. billing address information)"
